Federal Student Loan Portfolio by Borrower Debt Size,,,,,,,,,,,,,,,,,,,,,
Includes outstanding principal and interest balances,,,,,,,,,,,,,,,,,,,,,
Data Source: Enterprise Data Warehouse,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Less than 5K,Less than 5K,5K to 10K,5K to 10K,10K to 20K,10K to 20K,20K to 40K,20K to 40K,40K to 60K,40K to 60K,60K to 80K,60K to 80K,80K-100K,80K-100K,100K to 200K,100K to 200K,200K+,200K+,,
Federal Fiscal Year,Quarter,Dollars Outstanding           (in billions),Borrowers     (in millions),Dollars Outstanding            (in billions),Borrowers     (in millions),Dollars Outstanding           (in billions),Borrowers     (in millions),Dollars Outstanding            (in billions),Borrowers     (in millions),Dollars Outstanding           (in billions),Borrowers     (in millions),Dollars Outstanding            (in billions),Borrowers     (in millions),Dollars Outstanding           (in billions),Borrowers     (in millions),Dollars Outstanding            (in billions),Borrowers     (in millions),Dollars Outstanding           (in billions),Borrowers     (in millions),,
2017,Q2,$21.20,8.2,$57.30,7.9,138,9.6,268,9.4,$192.60,3.9,$157.10,2.3,$93.90,1.1,$249.10,1.8,$163.20,0.6,,
2017,Q3,$20.80,8.0,$56.70,7.8,136.5,9.5,265,9.3,$191.90,3.9,$157.60,2.3,$95.30,1.1,$251.10,1.8,$167.20,0.6,,
2017,Q4,$22.40,8.6,$56.90,7.7,135.8,9.4,268.3,9.4,$195.10,4.0,$160.30,2.3,$98.20,1.1,$258.90,1.9,$176.00,0.6,,
2018,Q1,$23.10,8.8,$56.50,7.7,135.3,9.4,266.5,9.4,$195.20,4.0,$161.20,2.3,$100.10,1.1,$261.70,1.9,$182.00,0.6,,
2018,Q2,$20.70,8.0,$56.50,7.8,137.4,9.5,269.4,9.5,$197.60,4.0,$164.90,2.4,$103.40,1.2,$269.50,2.0,$191.60,0.7,,
2018,Q3,$20.40,7.9,$56.00,7.7,136,9.4,266.4,9.4,$196.90,4.0,$165.30,2.4,$105.20,1.2,$272.70,2.0,$197.60,0.7,,
2018,Q4,$22.10,8.5,$56.30,7.6,135.1,9.3,269.8,9.5,$199.80,4.1,$167.50,2.4,$108.20,1.2,$280.40,2.0,$206.40,0.7,,
2019,Q1,$22.60,8.7,$55.90,7.6,134.6,9.3,268.1,9.4,$199.70,4.1,$168.10,2.4,$110.20,1.2,$283.10,2.1,$212.70,0.7,,
2019,Q2,$20.20,7.9,$55.70,7.7,136.2,9.4,270,9.5,$201.40,4.1,$171.20,2.5,$113.50,1.3,$290.40,2.1,$222.30,0.8,,
2019,Q3,$19.90,7.7,$55.00,7.6,134.6,9.3,266.7,9.4,$200.30,4.1,$171.20,2.5,$115.10,1.3,$293.50,2.1,$229.30,0.8,,
2019,Q4,$21.50,8.3,$55.10,7.5,133.4,9.2,270,9.5,$202.90,4.1,$173.20,2.5,$117.90,1.3,$301.70,2.2,$239.80,0.8,,
2020,Q1,$21.80,8.4,$54.60,7.4,132.4,9.1,267.7,9.4,$201.90,4.1,$173.10,2.5,$119.30,1.3,$303.10,2.2,$245.80,0.8,,
2020,Q2,$19.60,7.7,$54.30,7.5,134.3,9.3,269.1,9.4,$203.20,4.1,$175.70,2.5,$121.90,1.4,$310.30,2.3,$256.00,0.9,,
2020,Q3,$19.40,7.4,$54.20,7.5,134.1,9.3,267.7,9.4,$203.10,4.1,$175.60,2.5,$122.30,1.4,$311.50,2.3,$257.60,0.9,,
2020,Q4,$20.70,7.9,$54.60,7.4,133.1,9.2,272.3,9.6,$205.80,4.2,$177.00,2.6,$123.20,1.4,$317.20,2.3,$263.10,0.9,,
2021,Q1,$21.20,8.0,$54.40,7.4,132.6,9.1,271.4,9.5,$205.70,4.2,$176.90,2.6,$123.10,1.4,$317.20,2.3,$263.90,0.9,,
2021,Q2,$19.40,7.3,$54.40,7.5,136.4,9.4,274.2,9.6,$208.70,4.3,$179.90,2.6,$125.30,1.4,$324.20,2.4,$271.30,0.9,,
2021,Q3,$19.10,7.2,$54.10,7.5,135.8,9.4,272.6,9.6,$208.30,4.2,$179.40,2.6,$125.10,1.4,$324.80,2.4,$272.50,0.9,,
2021,Q4,$20.60,7.7,$54.60,7.4,134.1,9.2,277.6,9.7,$210.80,4.3,$180.50,2.6,$126.10,1.4,$330.50,2.4,$277.20,0.9,,
2022,Q1,$20.90,7.8,$54.30,7.4,132.9,9.2,276.1,9.7,$210.00,4.3,$179.70,2.6,$125.40,1.4,$329.00,2.4,$276.50,0.9,,
2022,Q2,$18.90,7.1,$54.40,7.5,135.5,9.3,277.8,9.7,$211.80,4.3,$181.10,2.6,$126.60,1.4,$333.30,2.4,$281.90,1.0,,
2022,Q3,$18.80,7.0,$54.30,7.5,135,9.3,276.5,9.7,$211.30,4.3,$180.60,2.6,$126.30,1.4,$333.50,2.4,$283.20,1.0,,
2022,Q4,$20.40,7.6,$55.00,7.5,134,9.2,281.2,9.9,$213.40,4.3,$181.30,2.6,$126.70,1.4,$338.00,2.4,$287.30,1.0,,
2023,Q1,$20.90,7.8,$55.40,7.5,134.5,9.3,281.6,9.9,$213.30,4.3,$180.60,2.6,$126.30,1.4,$336.90,2.4,$287.50,1.0,,
2023,Q2,$19.10,7.0,$56.10,7.8,138,9.5,283.4,10.0,$214.10,4.4,$180.30,2.6,$126.50,1.4,$338.50,2.5,$290.90,1.0,,
2023,Q3,$18.90,7.0,$56.10,7.8,137.9,9.5,282.5,9.9,$213.20,4.3,$178.60,2.6,$125.00,1.4,$335.30,2.4,$289.10,1.0,,
Notes:,,,,,,,,,,,,,,,,,,,,,
"Due to rounding and timing differences, the total figures may differ slightly from those in the Portfolio Summary report.  ",,,,,,,,,,,,,,,,,,,,,